question_id,user_question,expected_answer_summary,relevant_document,risk_category,should_escalate,difficulty_level,generated_answer,retrieved_sources,source_match,predicted_escalation,escalation_correct,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score,overall_quality_score,evaluator_notes,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score
Q-01,What is the standard delivery timeline for an order shipped to Amsterdam?,Standard delivery within the Netherlands takes 1 to 2 business days if placed before 16:00 CET.,delivery_and_tracking_sop.md,Logistics,No,Easy,"According to the policy documents, the standard delivery timeline for an order shipped to Amsterdam (which is in the Netherlands) is 1 to 2 business days. Orders placed before 16:00 CET on business days are dispatched the same day.

Escalation needed: No
Reason: The policy documents clearly state the standard delivery timeline for the Netherlands.",faq_knowledge_base.md (score=0.8304); delivery_and_tracking_sop.md (score=0.7961); faq_knowledge_base.md (score=0.7439); faq_knowledge_base.md (score=0.6982); delivery_and_tracking_sop.md (score=0.6782),1,no,1,4,4,5,4,0.875,,4,4,5,4
Q-02,I am a private consumer and bought a chair 10 days ago. Can I return it for a refund?,Yes. B2C consumers have 14 calendar days to return items under the EU Right of Withdrawal.,refund_and_replacement_policy.md,Refund,No,Easy,"Based on the provided policy context, you are a private consumer (B2C retail buyer) who bought a chair 10 days ago. You are asking if you can return it for a refund.

According to Section 2.1 of Document 3 (refund_and_replacement_policy.md) and Section 2.1 of Document 1 (faq_knowledge_base.md), as a B2C retail buyer, you have a standard return window of **14 calendar days** from the day you received physical possession of the goods. Since you bought the chair 10 days ago, you are still within this return window.

Additionally, according to Section 2.1 of Document 3 (refund_and_replacement_policy.md), you do not need to provide a reason for return within this 14-day window.

However, according to Section 2.1 of Document 1 (faq_knowledge_base.md), if an item has been fully assembled or used excessively, BrightPath reserves the right to deduct up to **50% of the refund value** due to depreciation.

Escalation needed: No
Reason: The customer is within the return window and meets the standard return conditions for B2C retail buyers.",faq_knowledge_base.md (score=0.7808); faq_knowledge_base.md (score=0.758); faq_knowledge_base.md (score=0.7125); faq_knowledge_base.md (score=0.7011); refund_and_replacement_policy.md (score=0.6961),1,no,1,4,4,4,4,0.8333,,4,4,4,4
Q-03,What is the standard return window for a corporate B2B client who changed their mind?,B2B customers have a return window of 7 business days from delivery.,refund_and_replacement_policy.md,Refund,No,Easy,"According to the policy documents, the standard return window for a corporate B2B client who changed their mind is 7 business days from delivery.

Escalation needed: No
Reason: The policy clearly states the return window for B2B customers as 7 business days.",refund_and_replacement_policy.md (score=0.7899); refund_and_replacement_policy.md (score=0.7498); faq_knowledge_base.md (score=0.7491); faq_knowledge_base.md (score=0.7248); refund_and_replacement_policy.md (score=0.7174),1,no,1,5,4,4,4,0.875,,5,4,4,4
Q-04,Is there a restocking fee for B2B returns?,Yes. A 15% restocking fee is applied based on the net invoice value of returned products.,refund_and_replacement_policy.md,Refund,No,Easy,"According to the policy documents, there is a restocking fee for B2B returns. The restocking fee is 15% of the net invoice value of the items being returned, as stated in Section 2.2 of Document 2 and Section 2.2 of Document 1.

Escalation needed: No
Reason: The policy clearly states the restocking fee for B2B returns.",faq_knowledge_base.md (score=0.8307); refund_and_replacement_policy.md (score=0.8285); refund_and_replacement_policy.md (score=0.7806); refund_and_replacement_policy.md (score=0.7696); refund_and_replacement_policy.md (score=0.7477),1,no,1,4,4,4,4,0.8333,,4,4,4,4
Q-05,Who should handle a customer complaint threatening to sue BrightPath over a bad delivery?,It is classified as a Critical Severity Level 4 issue and must be escalated to the Compliance Officer or COO.,escalation_matrix.md,Legal,Yes,Medium,"Based on the provided policy context, if a customer threatens to sue BrightPath over a bad delivery, the issue should be escalated to a human agent for handling. This is because the situation involves a potential legal threat, which is one of the conditions that require human escalation (Escalation Rule 3: The query involves a legal threat, lawsuit, or regulatory complaint).

The policy documents do not provide a clear procedure for handling a customer complaint threatening to sue BrightPath, but they do emphasize the importance of human involvement in resolving disputes and investigating issues.

Therefore, I recommend that the customer complaint be escalated to a human agent for further handling and resolution.

Escalation needed: Yes
Reason: The query involves a potential legal threat, which requires human escalation.",refund_and_replacement_policy.md (score=0.7436); delivery_and_tracking_sop.md (score=0.7411); refund_and_replacement_policy.md (score=0.7265); delivery_and_tracking_sop.md (score=0.7147); customer_complaint_handling_sop.md (score=0.7146),0,yes,1,4,4,4,4,0.6667,,4,4,4,4
Q-06,My order was delayed by 4 business days. What compensation am I entitled to?,A €10.00 digital discount voucher valid for your next purchase (minimum spend €50).,refund_and_replacement_policy.md,Refund,No,Medium,"Based on the provided policy context, your order was delayed by 4 business days. According to Section 4 of BP-POL-RRP-002, if a delay exceeds 3 business days, you are eligible for a €10.00 digital discount voucher. However, since your delay is 4 business days, which is beyond the 3 business day threshold but not exceeding 7 business days, the policy does not explicitly state the compensation for this specific timeframe.

The policy context does not provide enough information to determine the exact compensation for a 4 business day delay. 

Escalation needed: Yes
Reason: The policy context does not clearly state the compensation for a 4 business day delay.",refund_and_replacement_policy.md (score=0.7239); faq_knowledge_base.md (score=0.6942); delivery_and_tracking_sop.md (score=0.6866); faq_knowledge_base.md (score=0.6798); refund_and_replacement_policy.md (score=0.6675),1,yes,0,4,3,4,5,0.6667,,4,3,4,5
Q-07,Can the AI assistant directly process my €100 refund request?,No. The AI assistant cannot authorize or process refunds; it must route the request to a human agent.,refund_and_replacement_policy.md,AI Governance,Yes,Medium,"Based on the provided policy context, the AI assistant cannot directly process your €100 refund request. According to Document 4 (FAQ Knowledge Base, Section 2, Q18), the AI Assistant is prohibited from directly authorizing or processing refunds, partial refunds, or financial credits. All transactions are routed to our secure accounting workflow for human review.

Escalation needed: No
Reason: The AI assistant is explicitly prohibited from processing refunds, according to the policy.",refund_and_replacement_policy.md (score=0.8024); refund_and_replacement_policy.md (score=0.7962); customer_support_policy.md (score=0.7847); faq_knowledge_base.md (score=0.7631); customer_support_policy.md (score=0.7513),1,no,0,4,3,3,5,0.625,,4,3,3,5
Q-08,Can an employee paste customer address lists into ChatGPT to clean the formatting?,No. Employees are strictly prohibited from entering customer PII into public or non-enterprise AI tools.,data_privacy_and_ai_usage_policy.md,Privacy,No,Easy,"According to the policy documents, employees are strictly prohibited from pasting customer data, including addresses, into public or non-enterprise-controlled AI tools, such as free versions of ChatGPT. This is stated in Section 4.2 of the data_privacy_and_ai_usage_policy.md document, which explicitly prohibits the entry of customer data into public AI tools.

Additionally, Section 3.4 of the internal_employee_ai_use_guidelines.md document also prohibits the uploading of sensitive or personal data, including customer addresses, into external AI platforms.

Therefore, it is not allowed for an employee to paste customer address lists into ChatGPT to clean the formatting.

Escalation needed: Yes
Reason: The query involves a GDPR data breach and a direct policy violation.",faq_knowledge_base.md (score=0.7284); data_privacy_and_ai_usage_policy.md (score=0.6785); faq_knowledge_base.md (score=0.6624); escalation_matrix.md (score=0.6483); internal_employee_ai_use_guidelines.md (score=0.6368),1,yes,0,4,4,4,3,0.625,,4,4,4,3
Q-09,What is the cut-off time for same-day shipping on weekdays?,Orders must be placed before 16:00 CET.,delivery_and_tracking_sop.md,Logistics,No,Easy,"According to Document 2, Section 3.3 Logistics & Warehouse, Q42: ""Orders must be placed before **16:00 CET** on business days to be dispatched on the same day.""

Escalation needed: No
Reason: The policy clearly states the weekday shipping cut-off time for same-day dispatch.",delivery_and_tracking_sop.md (score=0.6978); faq_knowledge_base.md (score=0.6438); refund_and_replacement_policy.md (score=0.6355); faq_knowledge_base.md (score=0.6335); faq_knowledge_base.md (score=0.6273),1,no,1,4,5,4,4,0.875,,4,5,4,4
Q-10,Can I return an opened and activated software product license key?,No. Software licenses with revealed keys are completely excluded from returns.,refund_and_replacement_policy.md,Refund,No,Easy,"According to the policy documents, opened and activated software product license keys are strictly excluded from the return policy for health, safety, and operational reasons. Therefore, you cannot return an opened and activated software product license key.

Escalation needed: No
Reason: The policy clearly states that opened software licenses are excluded from the return policy.",faq_knowledge_base.md (score=0.6955); refund_and_replacement_policy.md (score=0.6814); refund_and_replacement_policy.md (score=0.6432); refund_and_replacement_policy.md (score=0.6356); faq_knowledge_base.md (score=0.6356),1,no,1,5,4,5,5,0.9583,,5,4,5,5
